label,name,packages,version,average_entropy,python_file_count,package_size,contains_ip,contains_domain,contains_bytestrings,contains_base64,contains_import_subprocess,contains_import_os,contains_import_network_modules
1,1,1,1,4.74360190164519,1,6784,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8799825936872048,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8796683406978183,2,1235565,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.3292772407133615,2,11094,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8796249810815535,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.731368899357111,3,58897,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,5.19956297943742,1,23546,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.218022724206884,1,23778,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8797155064113051,2,1235565,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8800149265020112,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.594750393956462,1,4729,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1.8792429094001208,2,1235533,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.214721678148103,1,23248,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.7217005219452775,1,6837,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.879811837134148,2,1235589,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.216131352122964,1,23128,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.317847835665625,2,11097,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.879205912215996,2,1235524,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8798392131866168,2,1235589,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8801900148857729,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.215285183906756,1,23648,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8802712958415335,2,1235629,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,1,1,1,5.214077608484212,1,22860,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.2018033911328345,1,23932,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.447338339023107,38,2051334,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8795661633498413,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.879489674454876,2,1235548,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.214914654443674,1,22990,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.485201029114313,33,2461427,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,2.630595773802734,6,4908,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.217139258470195,1,23908,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.212874734750316,1,23378,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.231619145296252,1,23900,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8796972357305428,2,1235581,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.236696469432611,1,23898,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.217115679882175,1,23380,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.977055836260161,2,33081,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.829722878747456,2,9337,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,5.07177882189536,3,39376,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.879763213725362,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.220831006260932,1,23778,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.217331429522182,1,23380,0.0,1.0,0.0,1.0,1.0,1.0,0.0
